age,gender,race,experience_years,education,skills_score,interview_score,hired
45,Female,White,20,High School,61,90,0
25,Female,White,11,Bachelor,62,57,1
36,Male,Asian,10,Bachelor,46,99,0
46,Male,White,22,Bachelor,87,32,0
56,Female,White,35,Bachelor,48,98,1
35,Female,White,14,High School,66,36,1
40,Female,White,20,PhD,63,89,0
57,Female,White,35,High School,68,33,0
28,Male,White,7,PhD,56,34,0
51,Female,White,25,Master,59,40,1
40,Male,White,17,Bachelor,46,44,0
46,Male,Black,24,Master,82,93,0
37,Male,Black,21,Bachelor,79,42,1
29,Male,White,2,Bachelor,46,36,1
39,Male,White,20,Bachelor,67,35,1
49,Male,Hispanic,27,Bachelor,58,85,0
37,Female,White,17,Bachelor,59,93,0
40,Male,Black,17,Bachelor,83,79,0
38,Female,White,13,Bachelor,78,59,0
34,Male,Asian,14,Bachelor,79,51,0
28,Male,Asian,7,Bachelor,46,54,0
48,Male,Black,28,High School,45,57,0
31,Male,Hispanic,8,High School,64,68,0
55,Male,White,31,Bachelor,80,96,1
57,Male,White,30,High School,98,34,1
46,Male,Asian,26,High School,52,94,0
27,Female,Asian,6,Master,78,44,1
45,Male,White,20,High School,79,96,1
39,Female,White,15,Bachelor,61,69,0
44,Male,White,20,Bachelor,88,98,1
27,Female,White,0,Master,56,72,0
50,Female,Asian,25,Bachelor,87,30,0
46,Female,White,20,Bachelor,61,51,0
38,Male,White,14,Bachelor,73,91,1
45,Male,White,20,Bachelor,47,55,0
32,Male,White,5,Bachelor,88,47,1
47,Female,White,31,High School,84,77,1
55,Female,Black,35,PhD,57,38,0
49,Female,Hispanic,24,Bachelor,63,30,0
24,Male,Asian,2,Bachelor,99,38,0
32,Female,White,11,Master,93,52,0
35,Female,Hispanic,16,Bachelor,99,74,0
47,Male,Asian,22,Master,81,31,0
42,Male,Asian,23,Bachelor,41,43,1
51,Female,White,27,Master,41,67,0
29,Female,White,2,High School,66,69,1
41,Female,White,21,Master,53,92,1
53,Male,White,34,Master,87,45,1
43,Female,White,28,High School,78,35,0
28,Male,White,2,High School,92,32,0
30,Male,White,10,Bachelor,92,43,0
22,Male,Asian,0,PhD,95,95,0
50,Female,White,30,Bachelor,51,96,0
29,Female,White,2,Bachelor,71,60,1
25,Male,Hispanic,0,High School,67,62,0
56,Male,Hispanic,31,Bachelor,94,30,1
24,Female,Asian,2,Bachelor,67,73,0
28,Male,Hispanic,4,PhD,85,44,1
48,Female,Black,27,Bachelor,64,66,1
22,Male,Hispanic,3,Master,43,56,0
48,Male,White,27,Bachelor,65,77,0
37,Male,White,19,High School,75,56,0
28,Male,White,7,Bachelor,89,41,0
44,Female,White,18,Bachelor,42,96,0
32,Male,White,14,PhD,40,59,0
54,Male,Black,30,Master,56,95,0
57,Female,Asian,35,High School,46,36,1
38,Male,Black,20,High School,87,63,0
56,Male,White,35,High School,44,61,0
26,Female,Asian,0,PhD,58,68,1
53,Female,Black,28,Master,78,72,1
24,Male,White,5,Master,85,72,1
56,Female,Black,33,Bachelor,73,32,0
35,Female,White,13,Bachelor,74,75,0
52,Male,White,32,Bachelor,88,61,1
52,Male,Hispanic,32,Bachelor,55,72,1
38,Female,White,16,Bachelor,79,32,0
45,Female,White,22,High School,89,92,1
44,Male,Hispanic,21,High School,86,69,1
39,Female,Asian,19,Master,78,47,0
35,Female,White,14,Master,66,96,0
36,Male,White,13,Bachelor,80,91,0
36,Male,White,17,Bachelor,77,39,1
27,Male,Black,4,Bachelor,89,81,0
48,Female,White,23,Master,89,75,0
36,Male,White,11,Master,64,84,1
57,Female,Hispanic,32,Master,65,75,0
29,Female,Black,6,Master,95,89,1
36,Female,White,17,High School,53,55,0
24,Male,White,0,Bachelor,53,56,1
34,Female,Black,12,Bachelor,53,67,0
55,Male,White,31,Bachelor,64,51,1
45,Female,White,22,Master,75,55,0
53,Male,Asian,26,Bachelor,43,98,1
53,Male,White,30,High School,86,64,0
51,Female,Black,28,Bachelor,54,95,0
34,Male,White,13,PhD,71,80,0
22,Male,White,0,High School,57,47,0
55,Female,White,29,Bachelor,53,72,1
36,Female,White,17,Bachelor,97,41,0
35,Female,White,13,High School,40,32,0
50,Female,White,28,Bachelor,81,36,0
55,Male,Asian,32,Master,59,35,0
39,Male,Hispanic,15,Bachelor,49,74,1
28,Male,Asian,6,Master,49,68,0
50,Male,Asian,29,Bachelor,98,80,1
52,Female,White,24,High School,63,38,0
46,Female,Hispanic,22,PhD,73,52,0
35,Male,White,12,Bachelor,67,41,0
29,Male,Hispanic,7,Bachelor,66,91,1
48,Female,Hispanic,29,Master,79,69,1
23,Male,Asian,0,Bachelor,40,83,0
38,Female,Hispanic,14,Master,72,36,1
35,Male,Black,11,High School,43,46,0
46,Female,White,21,Bachelor,46,79,0
51,Male,White,27,High School,48,53,1
50,Female,Black,30,Master,55,31,0
41,Female,White,15,High School,44,62,0
42,Female,Black,21,Master,73,50,0
43,Female,Hispanic,15,PhD,99,82,0
56,Female,White,32,Bachelor,62,75,0
37,Female,Asian,14,Bachelor,82,74,0
38,Male,Hispanic,21,Bachelor,89,38,0
37,Female,Hispanic,14,Bachelor,64,35,0
23,Female,Hispanic,0,Bachelor,96,80,0
25,Male,Black,0,Bachelor,90,64,0
42,Female,Hispanic,20,PhD,52,82,0
55,Female,Asian,34,PhD,63,48,1
51,Female,White,30,Master,50,98,0
27,Male,White,5,Master,91,54,1
38,Male,Asian,19,Bachelor,90,40,0
46,Female,White,22,Bachelor,56,46,0
26,Female,Black,6,Master,76,65,0
26,Male,Black,0,Bachelor,52,50,0
41,Female,White,16,PhD,66,47,0
37,Female,Black,9,Bachelor,59,89,1
30,Male,Asian,7,Bachelor,72,47,0
26,Female,White,3,Master,81,30,1
23,Male,White,1,PhD,71,43,1
30,Male,White,8,High School,47,37,1
57,Male,White,32,Master,95,95,0
43,Female,Hispanic,20,Bachelor,68,80,0
43,Male,White,16,Bachelor,79,89,0
43,Male,Black,25,Master,58,63,0
55,Male,White,32,Bachelor,45,65,0
50,Male,White,26,Bachelor,83,91,1
54,Female,Asian,35,Bachelor,99,30,0
39,Male,Asian,13,Bachelor,78,71,0
28,Male,White,2,Bachelor,87,30,1
22,Female,White,0,Bachelor,80,83,1
54,Male,White,31,High School,60,76,1
22,Male,White,1,PhD,96,68,1
45,Male,Black,25,Bachelor,61,59,0
25,Male,White,10,Master,81,36,1
25,Male,White,0,Bachelor,49,51,0
39,Male,White,18,Bachelor,49,79,1
48,Male,Hispanic,24,Bachelor,91,74,1
53,Female,Hispanic,29,Bachelor,68,39,0
54,Male,White,30,Bachelor,55,43,0
49,Female,Asian,24,Bachelor,40,75,0
57,Female,White,35,Bachelor,56,35,0
27,Male,White,7,High School,69,50,1
37,Female,Asian,15,Bachelor,65,91,1
55,Male,Hispanic,35,High School,92,48,1
44,Female,Hispanic,17,High School,85,91,0
45,Male,Black,19,PhD,58,82,0
34,Male,White,5,Bachelor,92,53,0
39,Male,Asian,14,Bachelor,60,85,0
34,Female,White,12,Bachelor,56,91,0
38,Male,Black,16,Master,85,63,0
36,Female,White,14,Bachelor,79,51,0
39,Male,Black,12,Master,60,97,1
44,Female,White,24,Bachelor,92,86,1
51,Male,White,29,PhD,80,39,1
55,Female,Hispanic,35,Master,79,95,0
25,Male,White,0,Master,84,37,0
24,Male,White,2,High School,88,67,1
28,Male,White,2,Bachelor,58,91,0
39,Male,White,15,Bachelor,99,57,0
28,Female,White,7,Bachelor,46,39,0
27,Male,White,5,Master,56,74,0
43,Female,Asian,18,High School,40,94,0
22,Male,White,0,High School,76,96,1
25,Male,Hispanic,0,Bachelor,96,38,0
50,Male,Black,31,High School,45,34,0
42,Male,White,19,High School,65,39,0
47,Female,Black,28,Master,41,41,0
35,Male,White,11,Bachelor,98,87,1
30,Male,Asian,6,High School,71,50,0
33,Female,White,8,Bachelor,96,50,1
27,Female,White,7,Bachelor,87,94,1
41,Male,Hispanic,16,High School,93,32,1
45,Male,Hispanic,24,Bachelor,44,98,1
48,Female,Hispanic,24,Master,76,93,0
29,Male,White,1,Master,70,78,0
22,Male,Asian,0,Master,51,46,1
45,Male,White,19,High School,74,61,1
28,Female,White,6,PhD,69,99,1
40,Female,White,14,Master,87,50,0
43,Male,Black,23,Master,45,36,0
56,Male,White,33,High School,54,36,0
51,Male,White,28,PhD,54,56,0
50,Female,Asian,29,Master,55,37,1
43,Male,White,23,Master,59,57,0
32,Male,White,9,High School,52,95,1
41,Female,White,16,Master,83,76,0
50,Male,Hispanic,22,PhD,81,39,0
55,Female,White,30,Bachelor,85,62,0
22,Male,White,0,Bachelor,70,36,1
52,Male,Asian,30,PhD,73,32,1
51,Male,Asian,27,Bachelor,68,43,0
39,Female,White,19,Bachelor,42,73,1
38,Female,Black,14,Bachelor,48,75,1
35,Female,Asian,12,PhD,50,90,0
44,Male,Black,25,High School,50,65,0
46,Female,White,25,Bachelor,64,42,0
36,Male,Asian,13,Bachelor,61,45,1
43,Male,Black,19,Master,81,34,0
24,Female,White,0,Bachelor,97,67,1
40,Male,White,15,Master,85,79,0
55,Male,White,31,PhD,48,67,1
56,Male,White,35,High School,59,85,0
22,Male,Asian,0,Bachelor,98,92,0
42,Male,White,15,High School,60,77,1
50,Female,White,33,Bachelor,49,88,1
27,Male,Black,5,Bachelor,61,73,0
22,Female,White,0,Master,68,84,1
22,Female,Hispanic,0,Master,48,84,0
48,Male,White,26,High School,44,30,1
42,Male,White,25,High School,79,37,0
37,Male,White,11,Bachelor,50,33,0
47,Female,White,27,Bachelor,40,82,1
37,Male,White,19,Bachelor,92,87,0
49,Female,Asian,25,Master,81,66,1
22,Male,Hispanic,0,PhD,40,78,1
57,Female,White,31,Bachelor,97,96,1
31,Male,Black,8,Master,93,48,0
38,Male,Asian,15,Bachelor,78,30,0
44,Female,Asian,23,Master,99,58,0
28,Female,White,9,Bachelor,85,62,1
28,Male,White,3,High School,44,81,0
36,Female,White,8,PhD,88,70,0
55,Male,Asian,32,Bachelor,61,52,1
25,Female,Asian,3,Master,65,34,0
35,Female,White,13,Bachelor,92,86,0
35,Male,White,12,High School,45,35,1
37,Male,Hispanic,15,High School,71,78,1
28,Male,Asian,10,Bachelor,87,51,1
53,Male,Hispanic,32,Bachelor,50,33,0
40,Female,Asian,16,Bachelor,49,93,0
23,Male,White,0,Bachelor,86,66,1
31,Male,Black,8,Bachelor,78,60,1
38,Female,Black,20,Master,94,66,0
33,Female,White,10,Bachelor,73,74,0
27,Male,Black,4,Master,70,37,0
43,Male,Asian,19,Bachelor,51,69,0
53,Male,White,34,Bachelor,90,34,1
41,Male,Asian,24,High School,83,57,1
22,Female,Black,1,Bachelor,55,38,0
27,Male,Hispanic,5,High School,77,31,0
40,Female,White,18,Bachelor,42,92,1
39,Male,White,9,High School,41,80,1
27,Female,Black,7,Bachelor,91,60,0
54,Female,White,32,Master,44,36,1
44,Female,Asian,23,Bachelor,50,59,0
44,Male,Asian,19,High School,97,87,0
47,Male,White,23,High School,64,32,1
34,Male,White,10,Master,74,80,1
28,Female,White,9,High School,74,85,0
36,Female,White,12,Bachelor,61,39,0
48,Female,Hispanic,32,Bachelor,76,90,1
47,Female,Asian,26,Bachelor,61,79,0
54,Female,Black,28,Bachelor,94,76,1
36,Male,Asian,13,Master,50,30,0
57,Female,White,33,High School,71,86,1
48,Male,Hispanic,19,Bachelor,74,67,0
26,Male,Black,8,Bachelor,70,91,1
23,Male,Asian,3,High School,84,99,1
54,Male,Asian,33,Bachelor,92,94,1
37,Male,White,15,Bachelor,47,91,1
44,Female,Asian,17,Bachelor,59,85,0
37,Male,White,13,Bachelor,81,96,1
35,Female,White,15,Bachelor,73,46,0
50,Male,White,24,Master,43,37,1
47,Male,Hispanic,17,Bachelor,57,89,0
56,Male,Asian,33,Bachelor,90,69,1
36,Male,Asian,13,Bachelor,43,91,0
24,Female,Asian,2,High School,59,70,0
44,Male,Black,24,High School,97,41,0
50,Female,Hispanic,29,Bachelor,48,83,0
55,Male,White,33,PhD,55,40,1
54,Female,White,35,Master,65,89,0
44,Female,White,17,High School,77,97,1
28,Female,Asian,7,Master,64,75,0
24,Male,Asian,3,Master,43,67,1
53,Male,White,27,Bachelor,80,90,1
52,Male,White,25,Master,98,46,1
39,Female,Asian,14,Bachelor,84,95,0
28,Male,White,4,High School,80,65,0
22,Male,Asian,2,Bachelor,77,36,0
35,Female,Hispanic,11,Bachelor,92,45,0
53,Male,White,28,Bachelor,58,43,0
27,Female,White,3,Bachelor,53,54,0
31,Male,Asian,12,PhD,60,33,0
28,Male,Asian,6,Master,54,58,1
47,Female,Black,24,Master,42,85,0
55,Male,Hispanic,32,Master,76,35,0
51,Female,White,32,PhD,92,30,0
57,Male,White,32,High School,89,68,1
42,Male,Asian,23,Bachelor,85,30,1
38,Female,Asian,16,Bachelor,55,92,1
54,Female,White,31,Master,53,86,0
31,Female,Asian,16,Bachelor,48,96,0
33,Male,Black,7,Master,86,94,0
37,Female,White,13,High School,46,94,0
53,Male,White,27,Bachelor,53,50,0
36,Male,Asian,16,Master,45,59,0
48,Female,White,31,High School,60,62,0
49,Male,White,32,Bachelor,54,77,0
38,Female,White,19,Bachelor,91,51,0
23,Male,Asian,0,Bachelor,47,83,0
57,Male,Black,33,Master,73,33,0
28,Male,Asian,0,Bachelor,79,84,1
34,Female,White,18,Bachelor,40,73,0
36,Female,Black,15,High School,71,41,1
46,Female,Black,22,Master,97,81,0
44,Female,Asian,25,Bachelor,88,94,1
43,Female,Hispanic,18,Bachelor,90,94,1
47,Female,White,26,Master,44,39,0
54,Male,Black,31,High School,69,47,0
32,Male,White,11,Master,61,76,0
31,Male,Black,8,Bachelor,59,95,0
46,Female,White,19,Bachelor,55,78,1
45,Female,White,23,High School,46,51,1
54,Male,White,35,PhD,46,55,1
38,Female,Black,15,Master,89,38,0
45,Female,White,25,High School,89,50,1
23,Male,Asian,0,Bachelor,41,92,0
53,Female,White,30,Master,86,35,0
45,Female,White,21,Bachelor,53,43,0
30,Male,Asian,10,Master,70,62,1
25,Female,White,3,Bachelor,89,53,0
38,Male,White,18,Master,80,80,0
38,Female,Black,19,Bachelor,53,31,0
51,Female,White,31,High School,44,44,0
32,Female,White,10,Bachelor,50,64,0
42,Male,White,17,PhD,79,65,0
42,Female,Hispanic,19,Bachelor,44,68,1
39,Female,Black,15,Bachelor,68,33,0
50,Male,Black,26,Bachelor,50,93,0
45,Female,Black,21,Bachelor,44,35,0
31,Male,White,6,Master,88,86,0
38,Female,White,10,Master,93,59,1
39,Male,Asian,14,High School,71,96,0
41,Male,White,19,PhD,75,44,0
39,Male,White,12,Master,54,46,1
38,Female,White,16,Master,58,47,0
30,Male,White,13,Bachelor,61,48,1
35,Female,Hispanic,16,Master,73,98,1
50,Male,White,32,High School,95,53,0
52,Male,White,31,Bachelor,56,77,0
25,Male,White,6,Master,51,59,1
39,Female,Hispanic,14,High School,64,44,0
41,Male,White,17,High School,95,76,1
30,Female,White,0,Master,56,73,0
34,Female,Asian,15,Master,49,56,0
36,Female,Asian,18,High School,67,93,0
48,Male,White,24,Master,96,70,1
36,Male,White,13,Bachelor,57,97,0
49,Female,White,24,Bachelor,90,34,1
40,Male,White,19,Master,57,82,0
47,Female,White,28,Bachelor,84,37,0
47,Male,White,19,High School,71,51,0
46,Female,White,25,Bachelor,53,36,1
47,Female,White,24,Bachelor,95,51,0
47,Female,Black,25,Bachelor,55,75,0
49,Male,Hispanic,28,Master,89,59,0
39,Female,Black,16,Master,97,45,0
53,Male,White,30,Bachelor,57,34,0
24,Male,White,1,Master,55,96,0
23,Female,Hispanic,3,High School,56,52,0
54,Female,White,33,High School,46,90,0
40,Female,White,18,Master,51,34,0
38,Female,Black,12,High School,73,52,0
54,Male,Black,30,High School,49,54,0
33,Male,Black,13,Bachelor,44,37,0
24,Female,White,2,Bachelor,60,50,0
47,Male,White,26,Master,42,31,1
56,Male,Hispanic,35,Bachelor,58,51,0
29,Male,White,10,High School,84,97,0
57,Male,Black,35,Bachelor,83,93,1
28,Male,Asian,4,Bachelor,74,48,1
57,Male,Black,27,Bachelor,45,82,0
37,Male,White,14,Bachelor,53,81,0
45,Male,White,22,Master,43,76,1
22,Female,Black,1,Master,84,83,0
46,Male,Asian,23,Bachelor,90,73,0
31,Male,Hispanic,8,Bachelor,57,36,0
37,Female,White,9,Bachelor,68,30,0
37,Male,White,12,PhD,74,92,0
29,Female,Hispanic,8,PhD,91,68,0
50,Female,Asian,33,High School,77,48,1
49,Male,Hispanic,26,Master,55,60,1
27,Male,White,5,Bachelor,59,53,0
37,Female,Black,17,High School,63,98,0
41,Female,Asian,16,High School,74,94,1
37,Male,Black,16,Bachelor,83,62,0
28,Female,White,3,Bachelor,90,88,0
35,Male,White,15,High School,58,62,0
47,Female,Black,25,Bachelor,95,61,0
47,Male,White,25,Bachelor,43,88,0
35,Female,White,10,Bachelor,72,70,0
28,Female,Hispanic,8,Bachelor,41,41,0
54,Female,White,35,High School,52,40,0
47,Male,Asian,21,Bachelor,97,48,0
41,Male,White,17,High School,84,83,1
24,Male,Black,2,Bachelor,69,86,0
25,Male,Hispanic,5,High School,73,71,1
47,Male,White,23,Bachelor,69,60,1
32,Female,White,1,High School,90,81,0
23,Male,White,5,Bachelor,93,31,0
35,Male,White,15,Master,63,67,0
51,Female,Asian,23,High School,87,61,1
33,Female,Hispanic,9,Bachelor,83,39,0
47,Female,White,29,High School,72,37,0
54,Female,White,35,Bachelor,80,49,0
34,Male,White,14,Bachelor,88,49,1
35,Male,Asian,12,Bachelor,49,38,1
45,Female,White,23,Bachelor,57,44,0
55,Female,Black,32,PhD,58,92,0
47,Male,Black,28,Bachelor,46,50,0
42,Female,Black,17,Bachelor,96,34,0
49,Male,White,24,Bachelor,58,64,0
57,Male,Asian,35,PhD,63,97,1
23,Male,White,0,Master,54,77,0
30,Female,White,12,Bachelor,80,91,0
44,Female,Asian,19,Master,81,64,1
36,Male,Asian,13,Bachelor,62,99,1
34,Female,White,9,Master,91,50,0
44,Male,White,22,Master,91,68,1
38,Male,White,11,High School,43,63,1
23,Female,White,0,Master,77,44,0
41,Female,White,14,Bachelor,43,35,0
41,Female,White,21,Bachelor,44,95,0
24,Female,White,4,Bachelor,80,85,0
33,Female,Asian,5,Master,83,78,0
23,Female,Black,5,High School,62,30,0
57,Male,Black,35,High School,79,94,0
35,Male,White,13,Master,92,57,1
37,Male,Hispanic,13,High School,76,49,1
40,Male,Asian,26,High School,50,77,1
55,Female,Asian,29,High School,94,94,1
27,Male,Asian,5,Bachelor,50,80,1
34,Male,Hispanic,12,Bachelor,52,72,1
57,Male,Black,35,High School,53,78,0
43,Female,White,22,PhD,99,54,0
39,Male,Black,15,Master,47,70,0
33,Female,Asian,8,Bachelor,64,93,1
51,Male,Asian,27,Bachelor,57,90,1
28,Male,Black,2,Bachelor,90,41,1
53,Female,White,31,Bachelor,83,98,1
40,Female,White,16,High School,83,43,0
27,Male,Hispanic,0,High School,57,63,0
41,Female,Black,22,Master,49,77,0
48,Female,Black,24,Bachelor,46,90,0
28,Male,White,2,Bachelor,99,64,0
26,Female,White,3,Master,89,94,0
32,Female,Hispanic,10,Bachelor,83,88,0
36,Female,Black,8,Bachelor,53,65,0
24,Female,Asian,2,Bachelor,54,48,0
26,Female,White,0,High School,55,71,0
44,Female,Black,27,Master,41,98,0
30,Female,White,9,Bachelor,69,48,1
36,Female,Asian,12,Master,69,68,0
24,Female,White,0,PhD,57,98,0
50,Female,White,27,PhD,70,81,0
27,Female,Black,6,Master,83,41,1
38,Male,Hispanic,15,Bachelor,87,76,1
47,Female,White,24,Bachelor,52,65,0
42,Female,Asian,20,Bachelor,59,92,0
29,Male,White,5,Bachelor,88,80,1
42,Female,White,18,Master,89,72,0
32,Male,White,3,High School,74,63,0
29,Male,White,9,Master,62,78,1
45,Female,White,23,Master,81,47,0
56,Male,White,31,PhD,72,90,1
35,Female,White,18,Master,77,86,0
35,Female,Hispanic,13,Bachelor,74,34,0
31,Male,White,5,High School,90,53,0
33,Male,Asian,13,High School,75,93,0
55,Male,White,34,Bachelor,59,88,1
31,Female,Black,10,Bachelor,94,67,0
38,Female,White,14,Master,42,62,0
38,Female,White,17,Master,47,39,0
24,Male,White,1,Bachelor,79,66,1
52,Female,White,31,High School,98,40,1
22,Male,White,0,High School,71,53,0
33,Female,Black,9,High School,68,50,0
25,Male,Hispanic,8,Bachelor,46,49,1
34,Female,Asian,9,Bachelor,41,39,0
55,Male,Black,31,High School,60,76,0
42,Female,White,18,Bachelor,45,76,0
43,Male,White,17,High School,67,44,0
25,Female,White,0,Bachelor,87,73,0
39,Female,White,16,Bachelor,81,91,0
26,Male,White,4,Bachelor,75,35,0
40,Female,Black,17,Bachelor,71,95,0
23,Female,White,0,PhD,84,33,0
33,Male,White,11,High School,81,52,0
38,Male,Asian,19,Bachelor,92,42,0
31,Female,Asian,8,Master,85,60,1
55,Male,White,31,Bachelor,48,45,1
27,Female,Hispanic,4,PhD,50,70,0
29,Male,Hispanic,8,Bachelor,62,30,0
32,Female,White,14,Bachelor,89,41,0
33,Male,White,9,High School,50,85,0
30,Female,White,8,Bachelor,88,79,1
23,Female,Hispanic,2,Bachelor,41,49,0
29,Female,Asian,4,High School,42,95,0
32,Female,White,10,Bachelor,50,65,0
57,Male,White,30,Bachelor,89,67,1
31,Female,Black,3,High School,98,51,0
42,Male,White,21,Bachelor,74,90,1
41,Male,White,17,Bachelor,97,79,1
29,Male,Asian,7,High School,54,88,0
57,Male,Black,34,Bachelor,82,49,0
50,Female,Asian,25,Master,50,65,0
33,Female,Asian,10,Bachelor,70,44,0
35,Male,Asian,9,Bachelor,67,91,0
42,Male,White,24,Bachelor,67,32,1
43,Female,Black,16,Bachelor,71,34,0
42,Male,White,19,PhD,64,85,0
51,Male,Black,25,Bachelor,59,60,0
41,Male,White,20,High School,67,64,1
45,Female,Black,22,Bachelor,64,99,0
44,Female,White,20,Master,50,55,0
28,Male,White,8,High School,58,30,0
30,Male,White,8,PhD,67,36,1
22,Female,White,1,PhD,40,65,0
47,Female,Asian,22,High School,98,54,0
43,Male,Asian,16,PhD,44,88,1
31,Female,White,9,Bachelor,49,90,0
27,Male,White,4,Master,81,58,0
38,Male,White,17,Bachelor,85,47,0
45,Female,White,22,Bachelor,73,70,0
31,Male,White,9,Bachelor,75,48,1
29,Female,Hispanic,2,Master,41,33,0
42,Male,White,25,High School,57,94,0
27,Male,White,4,Bachelor,52,70,0
42,Female,White,22,High School,90,44,0
45,Male,White,20,Bachelor,44,83,1
54,Female,White,32,Bachelor,59,93,0
39,Male,Black,13,Bachelor,41,44,1
49,Male,White,28,Bachelor,50,79,1
53,Male,White,29,High School,69,51,0
33,Female,White,11,High School,71,47,0
48,Male,White,28,High School,71,31,1
31,Female,White,5,Bachelor,97,65,0
53,Male,Hispanic,28,PhD,89,49,1
47,Female,Black,26,High School,77,45,0
46,Male,Black,30,PhD,94,96,1
32,Female,White,9,Master,67,59,1
44,Female,White,23,Bachelor,49,84,1
55,Female,Black,32,Bachelor,61,95,0
44,Female,Black,27,Master,94,55,1
50,Female,Asian,22,High School,56,86,1
52,Female,White,30,Bachelor,61,98,0
28,Male,White,1,Bachelor,82,31,0
54,Male,White,24,Bachelor,58,85,0
42,Female,Asian,20,Master,56,91,1
23,Female,Black,1,High School,63,63,0
39,Female,Black,16,Bachelor,75,85,0
54,Male,White,31,Bachelor,71,84,1
55,Male,Black,35,Bachelor,97,49,0
41,Male,White,18,Bachelor,95,79,1
56,Female,White,35,Bachelor,97,54,0
39,Male,White,15,Master,85,54,0
45,Male,Black,23,Bachelor,98,82,0
29,Male,White,6,Master,91,43,1
51,Male,White,27,Bachelor,75,89,1
31,Female,Hispanic,14,High School,67,72,0
44,Male,White,25,High School,53,91,0
32,Female,White,10,High School,97,98,1
23,Male,White,0,Bachelor,75,92,1
47,Male,White,23,Bachelor,45,31,0
57,Male,Asian,35,Master,48,83,1
54,Male,White,31,Master,60,45,1
34,Male,White,15,High School,51,84,0
46,Male,Black,28,High School,97,72,1
25,Female,Black,3,Bachelor,69,90,0
40,Male,Black,15,Bachelor,70,67,0
39,Female,White,9,High School,79,74,0
51,Female,White,31,High School,95,80,1
40,Female,Asian,15,PhD,43,71,1
44,Male,Black,22,Master,70,53,0
37,Male,Asian,11,High School,66,59,1
22,Male,Asian,0,Bachelor,97,66,1
33,Male,Asian,11,Bachelor,96,82,0
45,Female,White,23,Master,64,92,0
55,Male,White,29,Bachelor,44,40,1
29,Male,Asian,10,High School,45,52,0
39,Female,White,15,Master,44,79,0
26,Female,White,0,Bachelor,90,84,1
47,Female,Asian,24,Bachelor,66,84,0
51,Male,Hispanic,29,Bachelor,47,33,0
34,Male,White,12,Bachelor,48,83,0
40,Male,White,22,Bachelor,54,90,1
50,Male,White,27,High School,75,34,1
24,Male,Asian,1,Bachelor,96,47,0
47,Male,Hispanic,21,High School,80,73,0
33,Male,White,13,Master,46,60,1
23,Male,White,1,High School,71,50,0
32,Male,Asian,8,High School,47,76,0
49,Female,White,21,Bachelor,86,59,0
39,Female,Black,21,Master,90,84,0
34,Female,Hispanic,8,Master,54,97,0
43,Male,White,19,Bachelor,76,98,1
33,Male,Black,12,High School,58,70,0
23,Male,White,0,Master,78,74,1
28,Female,White,1,Bachelor,45,59,1
47,Female,Asian,18,High School,98,74,0
47,Male,White,27,Master,58,74,0
45,Female,Hispanic,21,High School,96,74,0
33,Male,Black,19,PhD,67,84,0
37,Male,White,12,Master,56,88,0
44,Female,White,19,Bachelor,81,34,0
30,Female,White,6,PhD,58,61,1
53,Female,White,31,Master,70,35,0
36,Female,White,12,High School,50,55,0
34,Male,White,13,Bachelor,54,66,1
26,Female,White,1,High School,49,42,0
32,Male,Asian,5,Bachelor,82,98,1
31,Female,Black,3,Master,62,54,0
34,Male,Asian,5,Bachelor,42,42,1
36,Female,White,12,Bachelor,42,49,0
28,Male,White,5,Bachelor,57,89,1
49,Female,Black,25,Master,64,50,0
53,Male,White,34,High School,82,90,0
56,Female,White,35,Bachelor,59,55,0
36,Male,Asian,12,High School,97,83,1
57,Male,Asian,29,Bachelor,68,71,1
42,Male,Black,18,High School,61,40,0
27,Male,White,3,Bachelor,89,66,0
22,Female,Asian,0,Bachelor,96,40,0
25,Male,Black,0,High School,54,56,0
32,Female,Asian,8,PhD,78,63,1
47,Male,Asian,23,High School,49,67,1
44,Male,Asian,20,Bachelor,60,90,1
50,Female,White,28,High School,94,82,1
42,Female,White,21,Bachelor,91,94,1
48,Male,Black,23,Bachelor,68,32,0
34,Female,Black,15,Bachelor,71,96,0
44,Female,Asian,19,High School,49,57,0
37,Male,White,10,Bachelor,52,43,0
51,Female,White,30,Bachelor,86,81,0
25,Female,Hispanic,0,Master,62,59,0
37,Female,Asian,15,Bachelor,89,87,0
52,Male,Hispanic,22,Bachelor,62,83,0
46,Female,Asian,28,High School,70,98,1
33,Male,Black,13,Bachelor,43,44,1
47,Male,Black,20,High School,91,67,1
54,Male,Hispanic,27,High School,88,43,1
49,Male,Black,32,High School,99,86,0
30,Female,Black,5,Bachelor,42,88,0
33,Female,White,8,Bachelor,60,37,0
26,Female,White,0,PhD,92,48,1
49,Male,Asian,25,High School,41,61,0
56,Male,White,33,Bachelor,43,58,1
26,Male,White,6,Master,40,70,0
55,Female,White,28,Bachelor,54,74,1
55,Male,White,28,Bachelor,96,42,1
34,Female,White,13,Bachelor,72,56,0
35,Female,White,16,High School,45,48,0
32,Male,Hispanic,5,Bachelor,46,55,1
25,Female,White,6,Master,58,82,1
54,Male,White,32,High School,83,80,0
28,Female,White,9,High School,40,66,0
29,Female,Black,6,Master,78,38,1
31,Male,White,1,Master,58,81,0
36,Male,Asian,13,Bachelor,84,83,1
36,Female,Black,17,Bachelor,65,32,0
